,area_type,availability,location,total_sqft,bath,price,price_per_sqft,bhk
0,4,1,1st Block Jayanagar,2850,4,428.0,15017.543859649122,4
1,4,1,1st Block Jayanagar,1630,3,194.0,11901.840490797545,3
2,4,1,1st Block Jayanagar,1200,6,125.0,10416.666666666666,6
3,4,2,1st Block Jayanagar,1875,2,235.0,12533.333333333334,3
4,1,2,1st Block Jayanagar,930,4,85.0,9139.78494623656,7
5,1,2,1st Block Jayanagar,700,4,104.0,14857.142857142857,8
6,3,1,1st Block Jayanagar,1200,2,130.0,10833.333333333334,3
7,4,1,1st Block Jayanagar,1235,2,148.0,11983.805668016194,2
8,4,1,1st Block Jayanagar,2750,4,413.0,15018.181818181818,4
9,4,1,1st Block Jayanagar,2450,4,368.0,15020.408163265307,4
11,4,2,1st Phase JP Nagar,1875,3,167.0,8906.666666666666,3
12,3,2,1st Phase JP Nagar,1500,5,85.0,5666.666666666667,5
13,4,2,1st Phase JP Nagar,2065,4,210.0,10169.49152542373,3
15,4,2,1st Phase JP Nagar,2059,3,225.0,10927.634774162214,3
16,4,2,1st Phase JP Nagar,1394,2,100.0,7173.601147776184,2
17,4,1,1st Phase JP Nagar,1077,2,93.0,8635.097493036212,2
18,1,2,1st Phase JP Nagar,1566,2,180.0,11494.252873563219,2
19,3,2,1st Phase JP Nagar,840,2,50.0,5952.380952380952,1
20,4,1,1st Phase JP Nagar,1590,3,131.0,8238.993710691824,3
21,4,2,1st Phase JP Nagar,2180,3,210.0,9633.02752293578,3
22,4,2,1st Phase JP Nagar,1180,2,88.5,7500.0,2
23,4,2,1st Phase JP Nagar,1200,2,86.0,7166.666666666667,2
24,3,2,1st Phase JP Nagar,1394,2,85.0,6097.5609756097565,2
25,4,1,1st Phase JP Nagar,2077,3,175.0,8425.613866153106,3
27,4,2,1st Phase JP Nagar,1205,2,85.0,7053.941908713693,2
29,4,2,1st Phase JP Nagar,900,2,75.0,8333.333333333334,2
30,4,2,2nd Phase Judicial Layout,1450,2,50.75,3500.0,3
31,4,2,2nd Phase Judicial Layout,1150,2,40.25,3500.0,2
32,4,2,2nd Phase Judicial Layout,1350,2,47.25,3500.0,3
33,4,2,2nd Phase Judicial Layout,1350,2,47.25,3500.0,3
34,4,1,2nd Phase Judicial Layout,900,2,41.0,4555.555555555556,2
35,4,2,2nd Phase Judicial Layout,1681,3,69.0,4104.699583581201,3
36,4,2,2nd Phase Judicial Layout,1350,2,47.25,3500.0,3
37,4,2,2nd Phase Judicial Layout,1150,2,40.25,3500.0,2
38,1,2,2nd Stage Nagarbhavi,1500,4,220.0,14666.666666666666,4
41,1,2,2nd Stage Nagarbhavi,1200,4,245.0,20416.666666666668,4
42,1,2,2nd Stage Nagarbhavi,1350,4,200.0,14814.814814814816,4
43,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
44,3,2,2nd Stage Nagarbhavi,600,3,95.0,15833.333333333334,4
45,1,2,2nd Stage Nagarbhavi,600,4,100.0,16666.666666666668,3
46,1,2,2nd Stage Nagarbhavi,1200,4,225.0,18750.0,4
47,1,2,2nd Stage Nagarbhavi,600,4,125.0,20833.333333333332,4
48,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
49,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
50,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
51,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
52,1,2,2nd Stage Nagarbhavi,1500,3,230.0,15333.333333333334,4
53,1,2,2nd Stage Nagarbhavi,600,3,84.0,14000.0,4
54,1,2,2nd Stage Nagarbhavi,600,3,82.0,13666.666666666666,4
56,1,2,2nd Stage Nagarbhavi,1200,4,240.0,20000.0,5
57,4,2,5th Block Hbr Layout,1206,2,56.0,4643.449419568822,2
58,4,2,5th Block Hbr Layout,1270,2,70.0,5511.811023622047,3
59,1,2,5th Block Hbr Layout,1200,4,205.0,17083.333333333332,4
60,4,2,5th Block Hbr Layout,1312,2,69.0,5259.1463414634145,2
61,4,2,5th Block Hbr Layout,1100,2,48.0,4363.636363636364,2
62,4,2,5th Block Hbr Layout,1200,5,205.0,17083.333333333332,5
63,3,2,5th Block Hbr Layout,5100,5,300.0,5882.35294117647,6
64,1,2,5th Block Hbr Layout,1200,5,205.0,17083.333333333332,5
65,4,2,5th Phase JP Nagar,1075,2,60.0,5581.395348837209,2
66,3,2,5th Phase JP Nagar,1150,3,52.5,4565.217391304348,2
67,4,1,5th Phase JP Nagar,1070,2,39.0,3644.8598130841124,2
68,3,2,5th Phase JP Nagar,1256,2,62.8,5000.0,2
69,4,2,5th Phase JP Nagar,1207,2,63.0,5219.552609776305,2
70,3,2,5th Phase JP Nagar,1725,2,100.0,5797.101449275362,3
71,4,2,5th Phase JP Nagar,1440,2,60.0,4166.666666666667,2
72,4,2,5th Phase JP Nagar,1400,2,88.0,6285.714285714285,3
73,4,2,5th Phase JP Nagar,1450,2,58.0,4000.0,2
74,3,2,5th Phase JP Nagar,1700,2,100.0,5882.35294117647,3
76,4,2,5th Phase JP Nagar,2500,5,110.0,4400.0,5
77,3,2,5th Phase JP Nagar,600,1,30.0,5000.0,1
78,4,2,5th Phase JP Nagar,1390,2,65.0,4676.258992805755,2
79,3,2,5th Phase JP Nagar,1256,2,62.8,5000.0,2
80,4,2,5th Phase JP Nagar,1220,2,88.0,7213.11475409836,2
81,4,2,5th Phase JP Nagar,1000,2,48.0,4800.0,2
82,4,2,5th Phase JP Nagar,1350,2,75.0,5555.555555555556,3
83,4,2,5th Phase JP Nagar,552,1,23.5,4257.246376811594,1
84,4,2,5th Phase JP Nagar,1200,2,51.0,4250.0,2
88,3,2,5th Phase JP Nagar,1030,2,57.0,5533.980582524272,2
89,4,2,5th Phase JP Nagar,1200,2,68.0,5666.666666666667,2
90,3,2,5th Phase JP Nagar,1190,2,61.8,5193.27731092437,2
91,4,2,5th Phase JP Nagar,4000,5,170.0,4250.0,5
92,4,2,5th Phase JP Nagar,1080,2,53.0,4907.407407407408,2
93,4,2,5th Phase JP Nagar,1041,2,54.0,5187.319884726225,2
94,4,2,5th Phase JP Nagar,812,2,42.0,5172.413793103448,2
95,3,2,5th Phase JP Nagar,1010,2,57.0,5643.564356435643,2
97,4,2,5th Phase JP Nagar,2500,8,95.0,3800.0,7
98,4,2,5th Phase JP Nagar,1075,2,60.0,5581.395348837209,2
99,1,2,5th Phase JP Nagar,2400,4,228.0,9500.0,4
100,4,2,6th Phase JP Nagar,1192,2,74.0,6208.053691275168,2
101,4,2,6th Phase JP Nagar,1180,2,80.0,6779.661016949152,2
104,4,2,6th Phase JP Nagar,1280,2,56.0,4375.0,2
105,3,2,6th Phase JP Nagar,1140,2,65.0,5701.754385964912,2
106,1,2,6th Phase JP Nagar,1650,6,135.0,8181.818181818182,8
107,4,2,6th Phase JP Nagar,2040,3,200.0,9803.921568627451,3
108,4,2,6th Phase JP Nagar,1213,2,63.0,5193.734542456719,2
110,4,2,6th Phase JP Nagar,1170,2,120.0,10256.410256410256,2
111,3,2,6th Phase JP Nagar,1216,2,60.0,4934.210526315789,2
112,4,2,6th Phase JP Nagar,1460,2,80.0,5479.45205479452,2
113,4,2,6th Phase JP Nagar,2003,3,200.0,9985.022466300548,3
114,4,2,6th Phase JP Nagar,1810,3,131.0,7237.5690607734805,3
115,4,2,6th Phase JP Nagar,1515,2,135.0,8910.89108910891,3
116,4,2,6th Phase JP Nagar,1192,2,75.0,6291.946308724832,2
117,4,2,6th Phase JP Nagar,1280,2,88.0,6875.0,2
118,3,2,7th Phase JP Nagar,1080,2,72.0,6666.666666666667,2
119,4,2,7th Phase JP Nagar,1270,2,93.0,7322.834645669292,2
120,3,2,7th Phase JP Nagar,1420,2,100.0,7042.2535211267605,3
121,3,2,7th Phase JP Nagar,1850,3,150.0,8108.108108108108,3
122,3,2,7th Phase JP Nagar,1245,2,94.0,7550.2008032128515,2
123,4,2,7th Phase JP Nagar,1175,2,82.0,6978.723404255319,2
124,4,2,7th Phase JP Nagar,1400,2,95.0,6785.714285714285,3
125,4,1,7th Phase JP Nagar,2225,3,160.0,7191.011235955056,3
126,3,2,7th Phase JP Nagar,1050,2,71.0,6761.9047619047615,2
127,4,2,7th Phase JP Nagar,1100,2,46.0,4181.818181818182,2
128,3,2,7th Phase JP Nagar,918,2,50.49,5500.0,2
129,4,2,7th Phase JP Nagar,1450,2,100.0,6896.551724137931,3
